code,question,option
Q36_l,Is there any other bio-product brand that you heard of apart from Yetagon?,Ywat Lwint
Q36_m,Is there any other bio-product brand that you heard of apart from Yetagon?,Pyan Lwar
Q36_n,Is there any other bio-product brand that you heard of apart from Yetagon?,Doh Kyay Let
Q36_o,Is there any other bio-product brand that you heard of apart from Yetagon?,Eco-Vital Bio-stimulant
Q36_other_text,"If other, please specify",
Q36_p,Is there any other bio-product brand that you heard of apart from Yetagon?,Other
Q37,Is there any other bio-product brand that you used of apart from Yetagon?,
Q37_a,Is there any other bio-product brand that you used of apart from Yetagon?,Yes
Q37_b,Is there any other bio-product brand that you used of apart from Yetagon?,No
Q37_c,Is there any other bio-product brand that you used of apart from Yetagon?,TRI-S
Q37_d,Is there any other bio-product brand that you used of apart from Yetagon?,Tricho Power
Q37_e,Is there any other bio-product brand that you used of apart from Yetagon?,Transform
Q37_f,Is there any other bio-product brand that you used of apart from Yetagon?,Sote Phwar
Q37_g,Is there any other bio-product brand that you used of apart from Yetagon?,Shwe Tet Lan
Q37_h,Is there any other bio-product brand that you used of apart from Yetagon?,Hatake
Q37_i,Is there any other bio-product brand that you used of apart from Yetagon?,Ywat Lwint
Q37_j,Is there any other bio-product brand that you used of apart from Yetagon?,Pyan Lwar
Q37_k,Is there any other bio-product brand that you used of apart from Yetagon?,Doh Kyay Let
Q37_l,Is there any other bio-product brand that you used of apart from Yetagon?,Eco-Vital Bio-stimulant
Q37_m,Is there any other bio-product brand that you used of apart from Yetagon?,Other
Q37_other_text,"If other, please specify",
Q38,Where do you hear about Yetagon?,
Q38_a,Where do you hear about Yetagon?,0
Q38_b,Where do you hear about Yetagon?,1
Q38_c,Where do you hear about Yetagon?,2
Q38_d,Where do you hear about Yetagon?,3
Q38_e,Where do you hear about Yetagon?,4
Q38_f,Where do you hear about Yetagon?,5
Q38_g,Where do you hear about Yetagon?,6
Q38_h,Where do you hear about Yetagon?,7
Q38_i,Where do you hear about Yetagon?,8
Q38_j,Where do you hear about Yetagon?,9
Q38_k,Where do you hear about Yetagon?,10
Q38_l,Where do you hear about Yetagon?,From Facebook
Q38_m,Where do you hear about Yetagon?,From Yetagon's staff
Q38_n,Where do you hear about Yetagon?,From Signage
Q38_o,Where do you hear about Yetagon?,Form Delaer shop
Q38_other_text,"If other, please specify",
Q38_p,Where do you hear about Yetagon?,other
Q39,Have you ever speak with Yetagon's staff about product and services?,
Q40,"On a scale of 0 to 10, how likely are you to recommend Yetagon to a friend or colleague?",
Q41,Why do you choose this NPS score?,
