Platform,Less_than_2_hours_%,2_to_4_hours_%,More_than_4_hours_%,Total_Users,Time_Contribution_Hours
Instagram,33.33333333333333,33.33333333333333,33.33333333333333,3,0.7916515684569091
Youtube,51.5625,35.15625,11.71875,128,0.7206313667574868
Facebook,61.28133704735376,30.362116991643457,6.685236768802229,359,0.6232703659194802
Others,38.46153846153847,38.46153846153847,23.076923076923077,13,0.42519575088457784
TikTok,65.2,26.400000000000002,7.6,250,0.38044854443175263
Messenger,46.28099173553719,39.66942148760331,9.917355371900827,121,0.24933230809011692
Viber,63.1578947368421,30.82706766917293,5.263157894736842,133,0.06962705504875856
