Platform,Ordinal_Coefficient,Std_Error,CI_Lower,CI_Upper,Method,R_Squared
Instagram,0.39582578422845455,0.3128406654833801,-0.2173419201189704,1.0089934885758796,OLS_on_Ordinal_Codes,0.1674935952796014
Youtube,0.3603156833787434,0.05226845149654903,0.2578695184455073,0.46276184831197953,OLS_on_Ordinal_Codes,0.1674935952796014
Facebook,0.3116351829597401,0.03801746422362159,0.23712095308144177,0.3861494128380384,OLS_on_Ordinal_Codes,0.1674935952796014
Others,0.21259787544228892,0.15592894615645364,-0.0930228590243602,0.5182186099089381,OLS_on_Ordinal_Codes,0.1674935952796014
TikTok,0.19022427221587632,0.040120284237798134,0.11158851510979198,0.2688600293219606,OLS_on_Ordinal_Codes,0.1674935952796014
Messenger,0.12466615404505846,0.06459422166177854,-0.0019385204120274946,0.25127082850214444,OLS_on_Ordinal_Codes,0.1674935952796014
Viber,0.03481352752437928,0.054229689186520706,-0.07147666328120131,0.14110371832995985,OLS_on_Ordinal_Codes,0.1674935952796014
